person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Deputy U.S. Marshal Bud Pusley,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 9, 1884",Cause of Death: Gunfire,Gunfire,1884-11-09,1884,FALSE,United States Department of Justice - United States Marshals Service, US
Police Officer Rufus R. Lishness,"Augusta Police Department, ME","EOW: Tuesday, November 11, 1884",Cause of Death: Gunfire,Gunfire,1884-11-11,1884,FALSE,Augusta Police Department, ME
Sheriff James H. Black,"Lamar County Sheriff's Department, TX","EOW: Sunday, November 16, 1884",Cause of Death: Gunfire,Gunfire,1884-11-16,1884,FALSE,Lamar County Sheriff's Department, TX
Police Officer James Edgar,"Newport Police Department, KY","EOW: Monday, November 17, 1884",Cause of Death: Gunfire,Gunfire,1884-11-17,1884,FALSE,Newport Police Department, KY
Sheriff Edgar Leary,"Karnes County Sheriff's Department, TX","EOW: Friday, December 26, 1884",Cause of Death: Gunfire,Gunfire,1884-12-26,1884,FALSE,Karnes County Sheriff's Department, TX
Officer William Beasley,"Orlando Police Department, FL","EOW: Thursday, January 1, 1885",Cause of Death: Gunfire,Gunfire,1885-01-01,1885,FALSE,Orlando Police Department, FL
Patrolman J. M. Arnold,"Nashville City Police Department, TN","EOW: Tuesday, January 6, 1885",Cause of Death: Gunfire,Gunfire,1885-01-06,1885,FALSE,Nashville City Police Department, TN
Captain William B. McDaniel,"Cedar Rapids Police Department, IA","EOW: Wednesday, January 7, 1885",Cause of Death: Struck by train,Struck by train,1885-01-07,1885,FALSE,Cedar Rapids Police Department, IA
Deputy Sheriff John Hurley,"Lincoln County Sheriff's Department, NM","EOW: Tuesday, January 27, 1885",Cause of Death: Gunfire,Gunfire,1885-01-27,1885,FALSE,Lincoln County Sheriff's Department, NM
Constable Jacob Montgomery Howard,"Elliott County Constable's Office, KY","EOW: Thursday, January 29, 1885",Cause of Death: Gunfire,Gunfire,1885-01-29,1885,FALSE,Elliott County Constable's Office, KY
"Private Benjamin Goodin ""Ben"" Warren","Texas Rangers, TX","EOW: Tuesday, February 10, 1885",Cause of Death: Gunfire,Gunfire,1885-02-10,1885,FALSE,Texas Rangers, TX
Constable J. D. L. Johnson,"Cooke County Constable's Office - Precinct 5, TX","EOW: Saturday, February 14, 1885",Cause of Death: Gunfire,Gunfire,1885-02-14,1885,FALSE,Cooke County Constable's Office - Precinct 5, TX
"Marshal Harrington Lee ""Hal"" Gosling","United States Department of Justice - United States Marshals Service, US","EOW: Saturday, February 21, 1885",Cause of Death: Gunfire,Gunfire,1885-02-21,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Marshal John Gill,"Mount Sterling Police Department, KY","EOW: Tuesday, February 24, 1885",Cause of Death: Gunfire,Gunfire,1885-02-24,1885,FALSE,Mount Sterling Police Department, KY
Deputy Sheriff John J. Kohl,"Marquette County Sheriff's Office, MI","EOW: Monday, March 9, 1885",Cause of Death: Gunfire,Gunfire,1885-03-09,1885,FALSE,Marquette County Sheriff's Office, MI
Town Marshal James Franklin Harrington,"Jewel Marshal's Office, KS","EOW: Saturday, March 14, 1885",Cause of Death: Gunfire,Gunfire,1885-03-14,1885,FALSE,Jewel Marshal's Office, KS
Captain Sam Cudgo,"Seminole Nation of Oklahoma Lighthorsemen Police, TR","EOW: Sunday, March 29, 1885",Cause of Death: Gunfire,Gunfire,1885-03-29,1885,FALSE,Seminole Nation of Oklahoma Lighthorsemen Police, TR
Captain Thomas Cloud,"Seminole Nation of Oklahoma Lighthorsemen Police, TR","EOW: Tuesday, March 31, 1885",Cause of Death: Gunfire,Gunfire,1885-03-31,1885,FALSE,Seminole Nation of Oklahoma Lighthorsemen Police, TR
Patrolman Thomas Lyons,"Newark Police Department, NJ","EOW: Tuesday, April 14, 1885",Cause of Death: Stabbed,Stabbed,1885-04-14,1885,FALSE,Newark Police Department, NJ
City Marshal Henry Clay Jeans,"Warsaw Police Department, MO","EOW: Saturday, April 25, 1885",Cause of Death: Gunfire,Gunfire,1885-04-25,1885,FALSE,Warsaw Police Department, MO
"Special Deputy Marshal William  ""Bill"" Kirksey","United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 1, 1885",Cause of Death: Gunfire,Gunfire,1885-05-01,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Jim Guy,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 1, 1885",Cause of Death: Gunfire,Gunfire,1885-05-01,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Andy Roff,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 1, 1885",Cause of Death: Gunfire,Gunfire,1885-05-01,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal James Roff,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 1, 1885",Cause of Death: Gunfire,Gunfire,1885-05-01,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff Thomas A. Ragsdale,"Fannin County Sheriff's Office, TX","EOW: Monday, May 11, 1885",Cause of Death: Gunfire,Gunfire,1885-05-11,1885,FALSE,Fannin County Sheriff's Office, TX
Deputy Sheriff Joseph R. Buchanan,"Fannin County Sheriff's Office, TX","EOW: Tuesday, May 12, 1885",Cause of Death: Gunfire,Gunfire,1885-05-12,1885,FALSE,Fannin County Sheriff's Office, TX
Private J. G. Wood,"Texas Rangers, TX","EOW: Wednesday, May 13, 1885",Cause of Death: Duty related illness,Duty related illness,1885-05-13,1885,FALSE,Texas Rangers, TX
"Deputy City Marshal Levin P. Smith, Jr","Bryan Police Department, TX","EOW: Friday, May 15, 1885",Cause of Death: Gunfire,Gunfire,1885-05-15,1885,FALSE,Bryan Police Department, TX
Marshal Henry Auer,"New Straitsville Police Department, OH","EOW: Saturday, May 23, 1885",Cause of Death: Gunfire,Gunfire,1885-05-23,1885,FALSE,New Straitsville Police Department, OH
Deputy Sheriff James A. Greenlee,"Shasta County Sheriff's Department, CA","EOW: Wednesday, May 27, 1885",Cause of Death: Gunfire,Gunfire,1885-05-27,1885,FALSE,Shasta County Sheriff's Department, CA
Patrolman Cornelius Barrett,"Chicago Police Department, IL","EOW: Sunday, May 31, 1885",Cause of Death: Gunfire,Gunfire,1885-05-31,1885,FALSE,Chicago Police Department, IL
Private Frank Sieker,"Texas Rangers, TX","EOW: Sunday, May 31, 1885",Cause of Death: Gunfire,Gunfire,1885-05-31,1885,FALSE,Texas Rangers, TX
Deputy Sheriff John Gardener,"Dubois County Sheriff's Department, IN","EOW: Monday, June 1, 1885",Cause of Death: Gunfire,Gunfire,1885-06-01,1885,FALSE,Dubois County Sheriff's Department, IN
Constable William Thomas Cody,"Butler County Sheriff's Office, KS","EOW: Tuesday, June 2, 1885",Cause of Death: Gunfire,Gunfire,1885-06-02,1885,FALSE,Butler County Sheriff's Office, KS
Deputy Sheriff William L. Daniels,"Cochise County Sheriff's Department, AZ","EOW: Tuesday, June 9, 1885",Cause of Death: Gunfire,Gunfire,1885-06-09,1885,FALSE,Cochise County Sheriff's Department, AZ
City Marshal George W. Flatt,"Caldwell Police Department, KS","EOW: Friday, June 19, 1885",Cause of Death: Gunfire,Gunfire,1885-06-19,1885,FALSE,Caldwell Police Department, KS
Deputy Sheriff Joe N. Martin,"Comanche County Sheriff's Department, TX","EOW: Thursday, June 25, 1885",Cause of Death: Gunfire,Gunfire,1885-06-25,1885,FALSE,Comanche County Sheriff's Department, TX
Officer Andrew T. Peterson,"Wilmington Police Department, DE","EOW: Saturday, June 27, 1885",Cause of Death: Gunfire,Gunfire,1885-06-27,1885,FALSE,Wilmington Police Department, DE
Private William M. Bohanon,"Texas Rangers, TX","EOW: Thursday, July 2, 1885",Cause of Death: Duty related illness,Duty related illness,1885-07-02,1885,FALSE,Texas Rangers, TX
Deputy U.S. Marshal William Lee Miller,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, July 6, 1885",Cause of Death: Gunfire,Gunfire,1885-07-06,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff William Meredith King,"Jack County Sheriff's Department, TX","EOW: Friday, July 17, 1885",Cause of Death: Gunfire,Gunfire,1885-07-17,1885,FALSE,Jack County Sheriff's Department, TX
Sergeant Daniel Sheehan,"Joplin Police Department, MO","EOW: Sunday, July 19, 1885",Cause of Death: Gunfire,Gunfire,1885-07-19,1885,FALSE,Joplin Police Department, MO
"Patrolman John F. ""Benjamin"" Evans","Pittsburgh Police Department, PA","EOW: Thursday, August 6, 1885",Cause of Death: Gunfire,Gunfire,1885-08-06,1885,FALSE,Pittsburgh Police Department, PA
Policeman Clarence J. Balcom,"Hastings Police Department, NE","EOW: Friday, August 7, 1885",Cause of Death: Gunfire,Gunfire,1885-08-07,1885,FALSE,Hastings Police Department, NE
Private Thomas P. Nigh,"Texas Rangers, TX","EOW: Tuesday, August 18, 1885",Cause of Death: Gunfire,Gunfire,1885-08-18,1885,FALSE,Texas Rangers, TX
Patrolman James North,"New York Municipal Police Department, NY","EOW: Friday, August 21, 1885",Cause of Death: Stabbed,Stabbed,1885-08-21,1885,FALSE,New York Municipal Police Department, NY
Patrolman William J. Camp,"Springfield Police Department, IL","EOW: Tuesday, August 25, 1885",Cause of Death: Gunfire,Gunfire,1885-08-25,1885,FALSE,Springfield Police Department, IL
Patrolman Frederick Gall,"Springfield Police Department, IL","EOW: Thursday, August 27, 1885",Cause of Death: Gunfire,Gunfire,1885-08-27,1885,FALSE,Springfield Police Department, IL
Constable Joseph H. Grant,"Geneva Police Department, IL","EOW: Friday, August 28, 1885",Cause of Death: Gunfire,Gunfire,1885-08-28,1885,FALSE,Geneva Police Department, IL
Officer John Riley McNett,"Geneva Police Department, IL","EOW: Friday, August 28, 1885",Cause of Death: Gunfire,Gunfire,1885-08-28,1885,FALSE,Geneva Police Department, IL
Deputy Constable Charles Hoskins,"Bastrop County Constable's Office - Precinct 6, TX","EOW: Wednesday, September 16, 1885",Cause of Death: Gunfire,Gunfire,1885-09-16,1885,FALSE,Bastrop County Constable's Office - Precinct 6, TX
Patrolman George W. Daugherty,"Evanston Police Department, IL","EOW: Tuesday, September 22, 1885",Cause of Death: Gunfire,Gunfire,1885-09-22,1885,FALSE,Evanston Police Department, IL
Constable Benjamin M. Nalls,"Culpeper County Constable's Office, VA","EOW: Thursday, September 24, 1885",Cause of Death: Gunfire,Gunfire,1885-09-24,1885,FALSE,Culpeper County Constable's Office, VA
Sheriff J. C. Fennel,"Orange County Sheriff's Office, TX","EOW: Friday, September 25, 1885",Cause of Death: Gunfire,Gunfire,1885-09-25,1885,FALSE,Orange County Sheriff's Office, TX
Deputy U.S. Marshal Miller Hurst,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, October 11, 1885",Cause of Death: Gunfire,Gunfire,1885-10-11,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Levi L. Drinkard,"Limestone County Sheriff's Department, TX","EOW: Monday, October 26, 1885",Cause of Death: Gunfire,Gunfire,1885-10-26,1885,FALSE,Limestone County Sheriff's Department, TX
Deputy Sheriff Wayne B. Parks,"Mitchell County Sheriff's Office, TX","EOW: Thursday, October 29, 1885",Cause of Death: Gunfire,Gunfire,1885-10-29,1885,FALSE,Mitchell County Sheriff's Office, TX
Town Marshal Billy Wilson,"Rapid City Police Department, SD","EOW: Friday, November 6, 1885",Cause of Death: Gunfire,Gunfire,1885-11-06,1885,FALSE,Rapid City Police Department, SD
Sheriff Edward Alexander Stevens,"Bexar County Sheriff's Office, TX","EOW: Saturday, November 7, 1885",Cause of Death: Gunfire,Gunfire,1885-11-07,1885,FALSE,Bexar County Sheriff's Office, TX
Patrolman Michael W. O'Brien,"Chicago Police Department, IL","EOW: Wednesday, November 11, 1885",Cause of Death: Gunfire,Gunfire,1885-11-11,1885,FALSE,Chicago Police Department, IL
Deputy Sheriff Casper Albert,"Cochise County Sheriff's Department, AZ","EOW: Thursday, November 26, 1885",Cause of Death: Gunfire,Gunfire,1885-11-26,1885,FALSE,Cochise County Sheriff's Department, AZ
Sheriff Ben Crawford,"Graham County Sheriff's Office, AZ","EOW: Thursday, December 3, 1885",Cause of Death: Gunfire,Gunfire,1885-12-03,1885,FALSE,Graham County Sheriff's Office, AZ
Lieutenant Edward B. Harding,"Louisville Police Department, KY","EOW: Sunday, December 6, 1885",Cause of Death: Gunfire,Gunfire,1885-12-06,1885,FALSE,Louisville Police Department, KY
Deputy U.S. Marshal W. D. Kellett,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, December 7, 1885",Cause of Death: Gunfire,Gunfire,1885-12-07,1885,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff John M. Murphy,"Yavapai County Sheriff's Office, AZ","EOW: Sunday, December 20, 1885",Cause of Death: Gunfire,Gunfire,1885-12-20,1885,FALSE,Yavapai County Sheriff's Office, AZ
Sheriff George Washington Epperson,"Bradford County Sheriff's Office, FL","EOW: Friday, December 25, 1885",Cause of Death: Gunfire,Gunfire,1885-12-25,1885,FALSE,Bradford County Sheriff's Office, FL
Deputy Henry Clay Davis,"Lamar County Sheriff's Department, TX","EOW: Sunday, December 27, 1885",Cause of Death: Gunfire,Gunfire,1885-12-27,1885,FALSE,Lamar County Sheriff's Department, TX
Constable Joseph Andrew Campion,"Lavaca County Constable's Office - Precinct 1, TX","EOW: Sunday, December 27, 1885",Cause of Death: Gunfire,Gunfire,1885-12-27,1885,FALSE,Lavaca County Constable's Office - Precinct 1, TX
Officer William L. Copeland,"Little Rock Police Department, AR","EOW: Thursday, December 31, 1885",Cause of Death: Assault,Assault,1885-12-31,1885,FALSE,Little Rock Police Department, AR
Sheriff John S. Degman,"Colfax County Sheriff's Department, NE","EOW: Tuesday, January 12, 1886",Cause of Death: Assault,Assault,1886-01-12,1886,FALSE,Colfax County Sheriff's Department, NE
Officer Henry Williams,"Houston Police Department, TX","EOW: Monday, February 8, 1886",Cause of Death: Gunfire,Gunfire,1886-02-08,1886,FALSE,Houston Police Department, TX
Deputy U.S. Marshal John Nathaniel Merritt,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, March 6, 1886",Cause of Death: Gunfire,Gunfire,1886-03-06,1886,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Marshal Charles N. Haygood,"Milledgeville Police Department, GA","EOW: Tuesday, March 9, 1886",Cause of Death: Gunfire,Gunfire,1886-03-09,1886,FALSE,Milledgeville Police Department, GA
Patrolman John Sebold,"Newark Police Department, NJ","EOW: Tuesday, March 9, 1886",Cause of Death: Animal related,Animal related,1886-03-09,1886,FALSE,Newark Police Department, NJ
Deputy U.S. Marshal Tom C. Hall,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, March 18, 1886",Cause of Death: Gunfire,Gunfire,1886-03-18,1886,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal James E. Richardson,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, March 29, 1886",Cause of Death: Gunfire,Gunfire,1886-03-29,1886,FALSE,United States Department of Justice - United States Marshals Service, US
"Deputy U.S. Marshal R. W. ""Dick"" Townsend","United States Department of Justice - United States Marshals Service, US","EOW: Saturday, April 3, 1886",Cause of Death: Gunfire,Gunfire,1886-04-03,1886,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Henry Miller,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, April 9, 1886",Cause of Death: Assault,Assault,1886-04-09,1886,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff F. M. Thomas,"Pope County Sheriff's Department, IL","EOW: Monday, April 12, 1886",Cause of Death: Gunfire,Gunfire,1886-04-12,1886,FALSE,Pope County Sheriff's Department, IL
Deputy U.S. Marshal William H. Irwin,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, April 13, 1886",Cause of Death: Gunfire,Gunfire,1886-04-13,1886,FALSE,United States Department of Justice - United States Marshals Service, US
"Deputy Sheriff John Stratton Walker, Sr.","Cheshire County Sheriff's Office, NH","EOW: Thursday, April 22, 1886",Cause of Death: Assault,Assault,1886-04-22,1886,FALSE,Cheshire County Sheriff's Office, NH
Officer Robert J. Rusk,"Spokane Police Department, WA","EOW: Thursday, April 22, 1886",Cause of Death: Gunfire,Gunfire,1886-04-22,1886,FALSE,Spokane Police Department, WA
Patrolman Mathias J. Degan,"Chicago Police Department, IL","EOW: Tuesday, May 4, 1886",Cause of Death: Bomb,Bomb,1886-05-04,1886,FALSE,Chicago Police Department, IL
Patrolman George Miller,"Chicago Police Department, IL","EOW: Thursday, May 6, 1886",Cause of Death: Bomb,Bomb,1886-05-06,1886,FALSE,Chicago Police Department, IL
Patrolman John J. Barrett,"Chicago Police Department, IL","EOW: Thursday, May 6, 1886",Cause of Death: Bomb,Bomb,1886-05-06,1886,FALSE,Chicago Police Department, IL
Patrolman Timothy Flavin,"Chicago Police Department, IL","EOW: Saturday, May 8, 1886",Cause of Death: Gunfire,Gunfire,1886-05-08,1886,FALSE,Chicago Police Department, IL
Patrolman Michael Sheehan,"Chicago Police Department, IL","EOW: Sunday, May 9, 1886",Cause of Death: Gunfire,Gunfire,1886-05-09,1886,FALSE,Chicago Police Department, IL
Officer Oscar Christensen,"South Bend Police Department, IN","EOW: Tuesday, May 11, 1886",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1886-05-11,1886,FALSE,South Bend Police Department, IN
Town Marshal Silas W. Campbell,"Bartow Police Department, FL","EOW: Saturday, May 15, 1886",Cause of Death: Gunfire,Gunfire,1886-05-15,1886,FALSE,Bartow Police Department, FL
Village Marshal Patrick Reddington,"Shannon Police Department, IL","EOW: Saturday, May 15, 1886",Cause of Death: Stabbed,Stabbed,1886-05-15,1886,FALSE,Shannon Police Department, IL
Patrolman Thomas Redden,"Chicago Police Department, IL","EOW: Monday, May 17, 1886",Cause of Death: Gunfire,Gunfire,1886-05-17,1886,FALSE,Chicago Police Department, IL
Patrolman Nels Hansen,"Chicago Police Department, IL","EOW: Monday, June 14, 1886",Cause of Death: Bomb,Bomb,1886-06-14,1886,FALSE,Chicago Police Department, IL
Night Watchman Robert D. Heller,"Avoca Police Department, IA","EOW: Sunday, June 20, 1886",Cause of Death: Gunfire,Gunfire,1886-06-20,1886,FALSE,Avoca Police Department, IA
Chief of Police Jonas P. Thatcher,"Moundsville Police Department, WV","EOW: Tuesday, June 22, 1886",Cause of Death: Gunfire,Gunfire,1886-06-22,1886,FALSE,Moundsville Police Department, WV
Deputy Sheriff Edward L. Lloyd,"Johnson County Sheriff's Office, WY","EOW: Monday, June 28, 1886",Cause of Death: Gunfire,Gunfire,1886-06-28,1886,FALSE,Johnson County Sheriff's Office, WY
Jailer James M. Truitt,"Hood County Sheriff's Office, TX","EOW: Tuesday, July 20, 1886",Cause of Death: Gunfire,Gunfire,1886-07-20,1886,FALSE,Hood County Sheriff's Office, TX
Deputy Sheriff Charles Tucker,"Casey County Sheriff's Office, KY","EOW: Monday, August 2, 1886",Cause of Death: Gunfire,Gunfire,1886-08-02,1886,FALSE,Casey County Sheriff's Office, KY
Constable Darwin P. Rice,"Bell County Constable's Office - Precinct 6, TX","EOW: Friday, August 6, 1886",Cause of Death: Gunfire,Gunfire,1886-08-06,1886,FALSE,Bell County Constable's Office - Precinct 6, TX
"City Marshal John Thomas ""Tom"" Hill","Ballinger Police Department, TX","EOW: Sunday, August 8, 1886",Cause of Death: Gunfire,Gunfire,1886-08-08,1886,FALSE,Ballinger Police Department, TX
Police Officer William D. Montgomery,"Montgomery Police Department, AL","EOW: Tuesday, August 24, 1886",Cause of Death: Gunfire,Gunfire,1886-08-24,1886,FALSE,Montgomery Police Department, AL
Deputy Sheriff Jailer John William Benjamin Adair,"Hunt County Sheriff's Office, TX","EOW: Saturday, August 28, 1886",Cause of Death: Stabbed,Stabbed,1886-08-28,1886,FALSE,Hunt County Sheriff's Office, TX
Jailer William C. M. Glazner,"Jones County Sheriff's Department, TX","EOW: Sunday, September 5, 1886",Cause of Death: Assault,Assault,1886-09-05,1886,FALSE,Jones County Sheriff's Department, TX
Patrolman George H. Woods,"Pittsburgh Police Department, PA","EOW: Monday, September 6, 1886",Cause of Death: Fall,Fall,1886-09-06,1886,FALSE,Pittsburgh Police Department, PA
"Sheriff Isham Lafayette ""Fate"" Elder","Karnes County Sheriff's Department, TX","EOW: Monday, September 6, 1886",Cause of Death: Gunfire,Gunfire,1886-09-06,1886,FALSE,Karnes County Sheriff's Department, TX
"Deputy Sheriff James J. ""Bud"" Elder","Karnes County Sheriff's Department, TX","EOW: Monday, September 6, 1886",Cause of Death: Gunfire,Gunfire,1886-09-06,1886,FALSE,Karnes County Sheriff's Department, TX
Deputy Sheriff John M. Bailey,"Karnes County Sheriff's Department, TX","EOW: Tuesday, September 7, 1886",Cause of Death: Gunfire,Gunfire,1886-09-07,1886,FALSE,Karnes County Sheriff's Department, TX
Officer Ephriam John Hubbard,"Spokane Police Department, WA","EOW: Tuesday, September 7, 1886",Cause of Death: Gunfire,Gunfire,1886-09-07,1886,FALSE,Spokane Police Department, WA
City Marshal George Tabler,"Longview Police Department, TX","EOW: Friday, September 24, 1886",Cause of Death: Gunfire,Gunfire,1886-09-24,1886,FALSE,Longview Police Department, TX
Constable Thomas Cummins,"Jefferson Township Constable's Office, IN","EOW: Monday, September 27, 1886",Cause of Death: Gunfire,Gunfire,1886-09-27,1886,FALSE,Jefferson Township Constable's Office, IN
Police Officer John R. Pugh,"Montgomery Police Department, AL","EOW: Friday, October 1, 1886",Cause of Death: Gunfire,Gunfire,1886-10-01,1886,FALSE,Montgomery Police Department, AL
Constable John R. Agnew,"Fannin County Constable's Office - Precinct 1, TX","EOW: Saturday, October 2, 1886",Cause of Death: Gunfire,Gunfire,1886-10-02,1886,FALSE,Fannin County Constable's Office - Precinct 1, TX
Deputy Collector James N. Hamilton,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Monday, October 18, 1886",Cause of Death: Gunfire,Gunfire,1886-10-18,1886,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Deputy Sheriff Samuel E. Lindsey,"Rains County Sheriff's Department, TX","EOW: Wednesday, November 3, 1886",Cause of Death: Gunfire,Gunfire,1886-11-03,1886,FALSE,Rains County Sheriff's Department, TX
Deputy Warden Charles W. Niles,"Maine Department of Inland Fisheries and Wildlife - Warden Service, ME","EOW: Monday, November 8, 1886",Cause of Death: Gunfire,Gunfire,1886-11-08,1886,FALSE,Maine Department of Inland Fisheries and Wildlife - Warden Service, ME
Game Warden Lyman O. Hill,"Maine Department of Inland Fisheries and Wildlife - Warden Service, ME","EOW: Monday, November 8, 1886",Cause of Death: Gunfire,Gunfire,1886-11-08,1886,FALSE,Maine Department of Inland Fisheries and Wildlife - Warden Service, ME
Deputy Marshal E. D. Henry,"Albuquerque Police Department, NM","EOW: Saturday, November 20, 1886",Cause of Death: Gunfire,Gunfire,1886-11-20,1886,FALSE,Albuquerque Police Department, NM
City Marshal Robert McGuire,"Albuquerque Police Department, NM","EOW: Friday, November 26, 1886",Cause of Death: Gunfire,Gunfire,1886-11-26,1886,FALSE,Albuquerque Police Department, NM
Officer Edward R. Kyser,"Parsons Police Department, KS","EOW: Saturday, December 4, 1886",Cause of Death: Gunfire,Gunfire,1886-12-04,1886,FALSE,Parsons Police Department, KS
Officer Edwin J. Osgood,"San Francisco Police Department, CA","EOW: Friday, December 17, 1886",Cause of Death: Stabbed,Stabbed,1886-12-17,1886,FALSE,San Francisco Police Department, CA
Police Officer Frank West,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Friday, December 17, 1886",Cause of Death: Gunfire,Gunfire,1886-12-17,1886,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Deputy U.S. Marshal Sam Sixkiller,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, December 24, 1886",Cause of Death: Gunfire,Gunfire,1886-12-24,1886,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff Charles Brown McKinney,"La Salle County Sheriff's Office, TX","EOW: Sunday, December 26, 1886",Cause of Death: Gunfire,Gunfire,1886-12-26,1886,FALSE,La Salle County Sheriff's Office, TX
Special Police Officer William B. Snow,"Lake Shore and Michigan Southern Railroad Police Department, RR","EOW: Tuesday, December 28, 1886",Cause of Death: Struck by train,Struck by train,1886-12-28,1886,FALSE,Lake Shore and Michigan Southern Railroad Police Department, RR
Sheriff Benjamin F. Irey,"Chester County Sheriff's Office, PA","EOW: Monday, January 3, 1887",Cause of Death: Struck by train,Struck by train,1887-01-03,1887,FALSE,Chester County Sheriff's Office, PA
Turnkey John Walters,"Seneca County Sheriff's Department, NY","EOW: Monday, January 10, 1887",Cause of Death: Assault,Assault,1887-01-10,1887,FALSE,Seneca County Sheriff's Department, NY
Roundsman Robert A. Montgomery,"New York Municipal Police Department, NY","EOW: Tuesday, January 11, 1887",Cause of Death: Gunfire,Gunfire,1887-01-11,1887,FALSE,New York Municipal Police Department, NY
Special Deputy Marshal Mark Kuykendall,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, January 17, 1887",Cause of Death: Stabbed,Stabbed,1887-01-17,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal William Kelly,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, January 17, 1887",Cause of Death: Stabbed,Stabbed,1887-01-17,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Henry Smith,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, January 17, 1887",Cause of Death: Stabbed,Stabbed,1887-01-17,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Constable John A. Bratton,"Grant County Sheriff's Office, AR","EOW: Tuesday, February 1, 1887",Cause of Death: Gunfire,Gunfire,1887-02-01,1887,FALSE,Grant County Sheriff's Office, AR
Constable H. L. Smith,"Grant County Sheriff's Office, AR","EOW: Tuesday, February 1, 1887",Cause of Death: Gunfire,Gunfire,1887-02-01,1887,FALSE,Grant County Sheriff's Office, AR
Detective James M. Shepard,"Buffalo Police Department, NY","EOW: Wednesday, February 2, 1887",Cause of Death: Structure collapse,Structure collapse,1887-02-02,1887,FALSE,Buffalo Police Department, NY
Deputy Sheriff George W. Lockhart,"Apache County Sheriff's Office, AZ","EOW: Monday, February 7, 1887",Cause of Death: Gunfire,Gunfire,1887-02-07,1887,FALSE,Apache County Sheriff's Office, AZ
Detective William Hulligan,"Cleveland Police Department, OH","EOW: Tuesday, February 8, 1887",Cause of Death: Assault,Assault,1887-02-08,1887,FALSE,Cleveland Police Department, OH
Watchman Zachariah Reynolds,"United States Department of the Treasury - Guard Force, US","EOW: Sunday, February 20, 1887",Cause of Death: Fall,Fall,1887-02-20,1887,FALSE,United States Department of the Treasury - Guard Force, US
Patrolman Patrick Riley,"Cincinnati Police Department, OH","EOW: Tuesday, March 8, 1887",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1887-03-08,1887,FALSE,Cincinnati Police Department, OH
"Private James H. ""Jim"" Moore","Texas Rangers, TX","EOW: Thursday, March 31, 1887",Cause of Death: Gunfire,Gunfire,1887-03-31,1887,FALSE,Texas Rangers, TX
Patrolman Michael O'Brien,"Chicago Police Department, IL","EOW: Sunday, April 3, 1887",Cause of Death: Gunfire,Gunfire,1887-04-03,1887,FALSE,Chicago Police Department, IL
Deputy Sheriff Gabriel Leander  Pool,"Milam County Sheriff's Office, TX","EOW: Thursday, April 7, 1887",Cause of Death: Gunfire,Gunfire,1887-04-07,1887,FALSE,Milam County Sheriff's Office, TX
Officer Martin Duggan,"Leadville Police Department, CO","EOW: Sunday, April 10, 1887",Cause of Death: Gunfire,Gunfire,1887-04-10,1887,FALSE,Leadville Police Department, CO
